Input Text,Left Context,Right Context,Extracted Text,Classification
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,que,end,que juega en el america.,CONDICION
Selecciona los jugadores que juega en el america.,que,end,que juega en el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,que,los jugadores,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,que,los jugadores,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,que,los jugadores,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,.,los jugadores que juega en el america,TABLA
Selecciona los jugadores que juega en el america.,el,.,el america,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,.,los jugadores que juega en el america,CONDICION
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,en,los jugadores que juega,TABLA
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,en,end,en el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,ATRIBUTO
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,que,end,que juega en el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,el,end,el america.,TABLA
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,que,los jugadores,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,ATRIBUTO
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Selecciona los jugadores que juega en el america.,los,end,los jugadores que juega en el america.,TABLA
Selecciona los jugadores que juega en el america.,que,end,que juega en el america.,CONDICION
Selecciona los jugadores que juega en el america.,el,end,el america.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,que,end,que estudian en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,.,la escuela,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,que,end,que estudian en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,.,los estudiantes que estudian en la escuela,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,.,los estudiantes que estudian en la escuela,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,estudiantes,.,estudiantes que estudian en la escuela,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,en,los estudiantes que estudian,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,en,end,en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,que,end,que estudian en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,end,la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,que,los estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
